stage,variant,layer_type,lstm_layers,hidden_size,n_params,epochs_run,train_acc,val_acc,test_acc,test_f1
X_detect,2-layer-h32 (paper),LSTM,2,32,17730,45,1.0,0.9964285492897034,0.9387755102040817,0.93875
X_detect,1-layer-h32,LSTM,1,32,9410,50,1.0,0.9988095164299011,0.9489795918367347,0.9489317352787909
X_detect,1-layer-h16,LSTM,1,16,3682,64,1.0,0.9988095164299011,0.9489795918367347,0.9489317352787909
X_detect,dense-only (no LSTM),LSTM,0,32,12898,120,1.0,0.9964285492897034,0.9591836734693877,0.9591155611180643
X_detect,2-layer-h32-GRU,GRU,2,32,13506,60,1.0,1.0,0.9489795918367347,0.9489317352787909
Y_make,2-layer-h32 (paper),LSTM,2,32,17730,38,0.9942528605461121,0.8809523582458496,0.8,0.7916666666666667
Y_make,1-layer-h32,LSTM,1,32,9410,46,0.9991790056228638,0.9511904716491699,1.0,1.0
Y_make,1-layer-h16,LSTM,1,16,3682,54,0.9991790056228638,0.9583333134651184,1.0,1.0
Y_make,dense-only (no LSTM),LSTM,0,32,12898,58,1.0,0.8583333492279053,0.9,0.898989898989899
Y_make,2-layer-h32-GRU,GRU,2,32,13506,44,0.9991790056228638,0.9214285612106323,0.9,0.898989898989899
Z_DJI,2-layer-h32 (paper),LSTM,2,32,17796,61,1.0,0.9714285731315613,0.6,0.6082417582417583
Z_DJI,1-layer-h32,LSTM,1,32,9476,77,1.0,0.9690476059913635,0.85,0.8484848484848485
Z_DJI,1-layer-h16,LSTM,1,16,3716,82,1.0,0.9571428298950195,0.75,0.742929292929293
Z_DJI,dense-only (no LSTM),LSTM,0,32,12964,500,1.0,0.9809523820877075,0.8,0.8055555555555556
Z_DJI,2-layer-h32-GRU,GRU,2,32,13572,85,1.0,0.973809540271759,0.6,0.6125541125541125
